Unnamed: 0,images,type
0.0,images/eu.04a53e8d-0642-47ce-afed-0dce3d2e3b85.jpg,type_7
1.0,images/eu.12853114-0db0-472d-8e1d-8b6d6fa55a6e.jpg,type_5
2.0,images/eu.1318656b-9b75-4e65-89e7-154aa2916ead.jpg,type_4
3.0,images/eu.15cb7654-1f49-4f13-a500-8adb845e2284.jpg,type_7
4.0,images/eu.2377f98a-116a-496b-9274-441e9f41e2a7.jpg,type_7
5.0,images/eu.304b0061-3171-44e5-81cf-46660cf81ac9.jpg,type_3
6.0,images/eu.4111e8fc-67a3-45d3-b58c-85d26d505902.jpg,type_7
7.0,images/eu.43b1f497-0c6e-4b66-9a04-3f2c46c643c3.jpg,type_6
8.0,images/eu.474be754-9656-45e9-9827-4e159c43e7ec.jpg,type_5
9.0,images/eu.47f46643-865c-448a-9cef-d4fb6b5e449c.jpg,type_4
10.0,images/eu.4bd10bbd-4f5a-416c-9e90-5cec51286263.jpg,type_7
11.0,images/eu.5077c9d7-a510-4542-adf4-e7d01b018aa2.jpg,type_7
12.0,images/eu.517d6a91-8397-4b44-a798-16f49fcd27cd.jpg,type_5
13.0,images/eu.5381a6d5-e0f5-46bc-a6fc-3c971b46c287.jpg,type_7
14.0,images/eu.53fe351a-e488-4b0f-9bcb-7709456b5bcb.jpg,type_7
15.0,images/eu.578daadb-caa8-4174-9ff6-4ebbcddfb052.jpg,type_4
16.0,images/eu.5ae3325a-c319-4854-8a22-4d4a9963b333.jpg,type_7
17.0,images/eu.5b6f3f83-50aa-4683-8a0a-a73a3c1f9893.jpg,type_7
18.0,images/eu.5c83472f-bc98-4870-8901-65db88fed63a.jpg,type_4
19.0,images/eu.5e72795f-8df1-4090-b07b-3540982ac3ea.jpg,type_4
20.0,images/eu.63733eb1-8461-4a69-b378-2cb94e5d54df.jpg,type_3
21.0,images/eu.6dfb8614-77bd-4e69-972e-a2f4e55c0ead.jpg,type_5
22.0,images/eu.729c12a1-dacc-45a8-a321-096f5bfa7a55.jpg,type_7
23.0,images/eu.738dbc29-5bab-483c-b049-0c3c2af98ead.jpg,type_3
24.0,images/eu.75e223df-b1e5-4ee0-8329-9ca2a61fdd0b.jpg,type_7
25.0,images/eu.76f3335b-6fda-4e2a-a332-650fde339ea2.jpg,type_3
26.0,images/eu.7d913aa8-f4a2-418e-acfe-c3497062e75b.jpg,type_6
28.0,images/eu.a2fae165-ba27-4d37-8832-54cf4ce16a64.jpg,type_5
29.0,images/eu.a3fdadc5-2ae0-4f5d-968b-a72e98fa6052.jpg,type_7
30.0,images/eu.ab672995-8271-4a20-8dc6-93272e41d65f.jpg,type_3
31.0,images/eu.aebd9c81-79a2-424b-ab2e-419af65adfcc.jpg,type_3
32.0,images/eu.b297419e-9967-4674-984b-c00848cd4d38.jpg,type_4
33.0,images/eu.c0ee855c-f906-43f6-81bf-360c3b72d9ed.jpg,type_6
34.0,images/eu.c12cf322-a996-47f0-a65e-95e6c632d568.jpg,type_6
35.0,images/eu.ce122d94-ebfa-44de-952f-e25f024f45e3.jpg,type_7
36.0,images/eu.eac2f17c-d6ef-4e6f-9486-01dbf5012f10.jpg,type_7
37.0,images/eu.f5ffb876-0454-4c8f-9515-2a87110fd635.jpg,type_6
38.0,images/eu.f673d1c2-9580-49a9-9c35-45d8278c5fc2.jpg,type_7
39.0,images/eu.f6abef78-e03d-43d3-a4b9-64594ac83496.jpg,type_5
40.0,images/eu.f7beccef-60d5-4f3a-b913-eaea5d40f466.jpg,type_7
41.0,images/eu.fd8a0281-72d0-4c31-866a-1b41e03c244e.jpg,type_4
,images/tonyimagess259.jpg,type_7
,images/tonyimagess105.jpg,type_7
,images/tonyimages27.jpeg,type_7
,images/tonyimagess161.jpg,type_7
,images/images22.jpg,type_7
,images/images55.jpg,type_7
,images/tonyimagess117.jpg,type_7
,images/tonyimagess41.jpg,type_7
,images/image9.jpeg,type_7
,images/image5.jpeg,type_7
,images/le-pattern-hair-loss-and-bald-forehead-in-southeast-asian-chinese-1724770396.jpg,type_7
,images/tonyimages16.jpeg,type_7
,images/tonyimagess263.jpg,type_7
,images/depositphotos_91424874-stock-photo-hair-loss-male-head-with.jpg,type_7
,images/tonyimagess50.jpg,type_7
,images/tonyimages14.jpeg,type_7
,images/tonyimagess120.jpg,type_7
,images/tonyimagess274.jpg,type_7
,images/image10.jpeg,type_7
,images/image3.jpeg,type_7
,images/stock-photo-young-asian-man-having-serious-hair-loss-problem-629734049.jpg,type_7
,images/tonyimagess54.jpg,type_7
,images/fullsizerender-1-1586618860.jpeg,type_7
,images/tonyimagess182.jpg,type_7
,images/if-you-want-to-remain-sexually-attracted-to-alexa-2-6077-1509130671-13_dblbig.jpg,type_7
,images/asian-man-concerned-his-hair-260nw-413779999.jpg,type_7
,images/images47.jpg,type_7
,images/tonyimagess218.jpg,type_7
,images/maxresdefault3.jpg,type_7
,images/image11.jpeg,type_7
,images/2022.04.28-hair-loss-general.jpg,type_7
,images/tonyimagess177.jpg,type_7
,images/images31.jpg,type_7
,images/200403171416-hair-transplant-before-after.jpg,type_7
,images/images65.jpg,type_7
,images/tonyimagess224.jpg,type_7
,images/tonyimagess124.jpg,type_7
,images/images52.jpg,type_7
,images/tonyimagess207.jpg,type_7
,images/tonyimagess231.jpg,type_7
,images/tonyimagess284.jpg,type_7
,images/-head-woman-hair-loss-thinning-hair-head-woman-top-view-head-woman-201121815.jpg,type_7
,images/tonyimagess30.jpg,type_7
,images/tonyimagess210.jpg,type_7
,images/tonyimagess303.jpg,type_7
,images/depositphotos_148953377-stock-photo-woman-serious-hair-loss-problem.jpg,type_7
,images/tonyimagess48.jpg,type_7
,images/tonyimagess165.jpg,type_7
,images/tonyimagess238.jpg,type_7
,images/IMG_72282.jpg,type_7
,images/ortrait-male-hair-head-part-human-man-open-thin-hair-area-back-top-137591817.jpg,type_7
,images/images32.jpg,type_7
,images/images38.jpg,type_7
,images/tonyimagess140.jpg,type_7
,images/tonyimagess51.jpg,type_7
,images/tonyimagess191.jpg,type_7
,images/tonyimagess40.jpg,type_7
,images/maxresdefault.jpg,type_7
,images/image8.jpeg,type_7
,images/images48.jpg,type_7
,images/images36.jpg,type_7
,images/stock-photo-asian-men-have-stress-when-hair-loss-is-a-ring-1027887352.jpg,type_7
,images/images3.jpg,type_7
,images/tonyimagess35.jpg,type_7
,images/tonyimagess223.jpg,type_7
,images/Gettytonyimagess-hair-transplant-1200.jpg,type_7
,images/images58.jpg,type_7
,images/tonyimagess76.jpg,type_7
,images/tonyimagess66.jpg,type_7
,images/tonyimagess153.jpg,type_7
,images/tonyimagess126.jpg,type_7
,images/tonyimagess172.jpg,type_7
,images/tonyimagess133.jpg,type_7
,images/tonyimagess136.jpg,type_7
,images/tonyimagess235.jpg,type_7
,images/tonyimagess195.jpg,type_7
,images/tonyimagess250.jpg,type_7
,images/tonyimagess179.jpg,type_7
,images/images21.jpg,type_7
,images/tonyimagess216.jpg,type_7
,images/tonyimagess255.jpg,type_7
,images/RHRLI_Jan2.jpg,type_7
,images/tonyimagess36.jpg,type_7
,images/sian-chinese-elder-man-thinning-sparse-hair-male-pattern-hair-loss-236037856.jpg,type_7
,images/tonyimagess256.jpg,type_7
,images/close-up-of-asian-male-pattern-baldness-free-photo.JPG.jpg,type_7
,images/tonyimagess197.jpg,type_7
,images/ern-hair-loss-in-southeast-asian-chinese-elder-man-isolated-on-white-2GAR4GR.jpg,type_7
,images/tonyimagess271.jpg,type_7
,images/tonyimagess290.jpg,type_7
,images/images64.jpg,type_7
,images/tonyimagess194.jpg,type_7
,images/tonyimagess286.jpg,type_7
,images/tonyimages19.jpeg,type_7
,images/tonyimagess202.jpg,type_7
,images/tonyimagess297.jpg,type_7
,images/hair-loss-male-head-hair-loss-symptoms-front-side-56233271.jpg,type_7
,images/tonyimagess96.jpg,type_7
,images/tonyimagess249.jpg,type_7
,images/ortrait-male-hair-head-part-human-man-open-thin-hair-area-back-top-135891893.jpg,type_7
,images/tonyimagess234.jpg,type_7
,images/tonyimagess251.jpg,type_7
,images/image14.jpeg,type_7
,images/tonyimages10.jpeg,type_7
,images/tonyimagess20.jpg,type_7
,images/tonyimagess229.jpg,type_7
,images/tonyimagess283.jpg,type_7
,images/depositphotos_245156606-stock-photo-close-hair-loss-thinning-hair.jpg,type_7
,images/tonyimagess68.jpg,type_7
,images/tonyimagess144.jpg,type_7
,images/images29.jpg,type_7
,images/image2.jpeg,type_7
,images/thinning-or-sparse-hair-male-pattern-hair-loss-in-southeast-asian-chinese-elder-man-2GKTDF1.jpg,type_7
,images/tonyimagess204.jpg,type_7
,images/tonyimagess257.jpg,type_7
,images/balding-man-s-head-26966075.jpg,type_7
,images/scalp-of-young-caucasian-man-seen-from-above-and-showcasing-a-hair-loss-problem-RBRFF6.jpg,type_7
,images/stock-photo-male-pattern-baldness-increased-testosterone-disease-1558342481.jpg,type_7
,images/tonyimagess27.jpg,type_7
,images/images15.jpg,type_7
,images/all-probl-man-alopecia-areata-head-spot-baldness-hair-fall-problem-121087668.jpg,type_7
,images/images56.jpg,type_7
,images/tonyimagess233.jpg,type_7
,images/tonyimagess42.jpg,type_7
,images/depositphotos_342484388-stock-photo-man-successful-hair-loss-treatment.jpg,type_7
,images/image18.jpeg,type_7
,images/tonyimagess94.jpg,type_7
,images/tonyimagess166.jpg,type_7
,images/tonyimagess112.jpg,type_7
,images/tonyimagess183.jpg,type_7
,images/tonyimagess.jpg,type_7
,images/image12.jpeg,type_7
,images/tonyimagess80.jpg,type_7
,images/5-BEFORE.jpg,type_7
,images/tonyimagess214.jpg,type_7
,images/tonyimagess270.jpg,type_7
,images/tonyimagess147.jpg,type_7
,images/depositphotos_270897594-stock-photo-mesotherapy-hair-head-traces-injections.jpg,type_7
,images/tonyimages6.jpeg,type_7
,images/images23.jpg,type_7
,images/Hair-Loss-580x360-2.jpeg,type_7
,images/images.jpg,type_7
,images/tonyimages7.jpeg,type_7
,images/tonyimagess149.jpg,type_7
,images/tonyimagess208.jpg,type_7
,images/tonyimagess199.jpg,type_7
,images/tonyimagess14.jpg,type_7
,images/tonyimagess215.jpg,type_7
,images/tonyimagess288.jpg,type_7
,images/ng-young-man-hair-loss-problem-young-man-has-got-problem-hair-loss-1492393082.jpg,type_7
,images/tonyimagess230.jpg,type_7
,images/tonyimages26.jpeg,type_7
,images/images74.jpg,type_7
,images/depositphotos_39898099-stock-photo-dandruff-in-the-hair.jpg,type_7
,images/tonyimagess196.jpg,type_7
,images/hair_transplant_NHI_18a.jpg,type_7
,images/tonyimagess7.jpg,type_7
,images/tonyimagess160.jpg,type_7
,images/tonyimagess243.jpg,type_7
,images/tonyimagess244.jpg,type_7
,images/depositphotos_13129790-stock-photo-bald-head-cut-out.jpg,type_7
,images/hair-loss-in-asian-men-hair-treatments-to-restore-growth.jpg,type_7
,images/images17.jpg,type_7
,images/tonyimagess212.jpg,type_7
,images/63-1.jpg,type_7
,images/images14.jpg,type_7
,images/tonyimagess13.jpg,type_7
,images/tonyimagess63.jpg,type_7
,images/depositphotos_114700126-stock-photo-head-with-hair-loss.jpg,type_7
,images/images72.jpg,type_7
,images/depositphotos_91014580-stock-photo-bald-head-of-young-man.jpg,type_7
,images/male-pattern-1024x905.jpg,type_7
,images/hhiygfut-e1569957640585.jpg,type_7
,images/tonyimagess123.jpg,type_7
,images/images60.jpg,type_7
,images/depositphotos_13129792-stock-photo-stressed-man.jpg,type_7
,images/tonyimagess188.jpg,type_7
,images/360_F_153861075_aarPivcEuYDjRIPj8RSIRETu7h7oQEir.jpg,type_7
,images/tonyimagess232.jpg,type_7
,images/tonyimagess129.jpg,type_7
,images/asian-man-hairline.jpg,type_7
,images/stock-photo-thin-hair-and-scalp-and-broken-hair-1134866288.jpg,type_7
,images/heast-asian-men-closeup-hair-loss-problem-orange-background-health-162193579.jpg,type_7
,images/tonyimagess206.jpg,type_7
,images/hq720.jpg,type_7
,images/tonyimagess121.jpg,type_7
,images/tonyimages25.jpeg,type_7
,images/images77.jpg,type_7
,images/stock-photo-young-woman-with-white-hair-problem-1286878012.jpg,type_7
,images/hair-and-a-hair-whorls-hair-whorl-is-a-patch-of-hair-growing-in-a-1675940866.jpg,type_7
,images/tonyimagess109.jpg,type_7
,images/heast-asian-men-closeup-hair-loss-problem-orange-background-health-162193576.jpg,type_7
,images/tonyimagess81.jpg,type_7
,images/tonyimages11.jpeg,type_7
,images/tonyimagess186.jpg,type_7
,images/images45.jpg,type_7
,images/asian-man-worry-about-his-hair-loss-alopecia-isolated_34435-3030.jpg,type_7
,images/stock-photo-gray-hair-in-young-girls-top-view-644183044.jpg,type_7
,images/9b2030cba67a03c010dcb0086fd05499.jpg,type_7
,images/tonyimages24.jpeg,type_7
,images/images2.jpg,type_7
,images/tonyimagess125.jpg,type_7
,images/tonyimagess260.jpg,type_7
,images/images57.jpg,type_7
,images/tonyimagess47.jpg,type_7
,images/image7.jpeg,type_7
,images/thinning-or-sparse-hair-male-pattern-hair-loss-in-southeast-asian-chinese-young-man-2JMG7WD.jpg,type_7
,images/tonyimagess219.jpg,type_7
,images/tonyimagess70.jpg,type_7
,images/tonyimages8.jpeg,type_7
,images/images13.jpg,type_7
,images/images20.jpg,type_7
,images/asia-hair-loss.jpg,type_7
,images/balding-asian-man.jpg,type_7
,images/images4.jpg,type_7
,images/tonyimagess158.jpg,type_7
,images/tonyimagess190.jpg,type_7
,images/tonyimagess181.jpg,type_7
,images/images10.jpg,type_7
,images/images43.jpg,type_7
,images/depositphotos_97549594-stock-photo-premature-baldness-man-40s-white.jpg,type_7
,images/tonyimagess150.jpg,type_7
,images/depositphotos_254992106-stock-photo-concept-hair-loss-man-doing.jpg,type_7
,images/images18.jpg,type_7
,images/-southeast-asian-chinese-elder-man-with-text-space-isolated-on-white-2GAR7JW.jpg,type_7
,images/depositphotos_82053230-stock-photo-hair-loss-and-grey-hair.jpg,type_7
,images/images5.jpg,type_7
,images/tonyimagess242.jpg,type_7
,images/depositphotos_270897638-stock-photo-mesotherapy-hair-head-traces-injections.jpg,type_7
,images/image13.jpeg,type_7
,images/sian-chinese-elder-man-thinning-sparse-hair-male-pattern-hair-loss-201101188.jpg,type_7
,images/tonyimagess57.jpg,type_7
,images/tonyimagess87.jpg,type_7
,images/tonyimages20.jpeg,type_7
,images/tonyimagess254.jpg,type_7
,images/tonyimagess29.jpg,type_7
,images/tonyimagess131.jpg,type_7
,images/tonyimagess26.jpg,type_7
,images/Alopecia.jpg,type_7
,images/back-view-bald-asian-male-standing-bathroom_127755-2253.jpg,type_7
,images/tonyimagess34.jpg,type_7
,images/tonyimagess32.jpg,type_7
,images/images53.jpg,type_7
,images/Bald-Asian-Man.jpg,type_7
,images/96796200.jpg,type_7
,images/tonyimagess118.jpg,type_7
,images/tonyimagess60.jpg,type_7
,images/413138845.jpg,type_7
,images/images70.jpg,type_7
,images/tonyimagess241.jpg,type_7
,images/tonyimagess287.jpg,type_7
,images/labrous-close-up-bald-head-thin-and-scalp-and-broken-hair-concept-1517080604.jpg,type_7
,images/tonyimagess69.jpg,type_7
,images/tonyimagess58.jpg,type_7
,images/AdobeStock_70640659.jpg,type_7
,images/tonyimagess302.jpg,type_7
,images/tonyimagess248.jpg,type_7
,images/depositphotos_43483807-stock-photo-bald-men.jpg,type_7
,images/tonyimagess128.jpg,type_7
,images/images61.jpg,type_7
,images/tonyimagess2.jpg,type_7
,images/tonyimagess97.jpg,type_7
,images/tonyimagess170.jpg,type_7
,images/tonyimagess98.jpg,type_7
,images/tonyimagess11.jpg,type_7
,images/hair-loss-more-evident-in-asian-men-previously-with-the-lowest-incidence.jpg,type_7
,images/image17.jpeg,type_7
,images/tonyimagess18.jpg,type_7
,images/tonyimagess127.jpg,type_7
,images/tonyimagess306.jpg,type_7
,images/tonyimages12.jpeg,type_7
,images/84442a66-f423-11e7-8693-80d4e18fb3a2_1280x720_1701372.jpg,type_7
,images/man_examining_scalp_1351428660.jpg,type_7
,images/depositphotos_36677947-stock-photo-man-controls-hair-loss.jpg,type_7
,images/tonyimagess146.jpg,type_7
,images/tonyimagess272.jpg,type_7
